"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PALLD2",5.29377282003582e-23,0.400086313320804,0.926,0.795,1.28485160115089e-18,"8","PALLD"
"SARS1",5.8440798041166e-23,0.34778642005309,0.653,0.425,1.41841660925714e-18,"8","SARS"
"PTTG12",5.85408133319869e-23,0.28551339858684,0.383,0.193,1.42084408038065e-18,"8","PTTG1"
"WEE11",6.08696130328591e-23,0.333185428064722,0.564,0.332,1.47736637792052e-18,"8","WEE1"
"RPRD2",6.56558122652559e-23,0.274474150183359,0.411,0.212,1.59353221949003e-18,"8","RPRD2"
"ZNF433-AS1",6.64815430759118e-23,0.268978213637273,0.413,0.214,1.61357353199545e-18,"8","ZNF433-AS1"
"HBP11",7.24528388476683e-23,0.346125637274805,0.674,0.45,1.75850285167176e-18,"8","HBP1"
"KAZN1",7.52032384103031e-23,0.455108754182662,0.5,0.295,1.82525779945647e-18,"8","KAZN"
"KIF1B2",7.74515786185126e-23,0.310769465834598,0.89,0.731,1.87982726464992e-18,"8","KIF1B"
"AC107021.1",8.34474774326229e-23,0.296385283896004,0.379,0.189,2.02535372476719e-18,"8","AC107021.1"
"KCNQ1OT12",8.52939940374545e-23,0.445915755169917,0.655,0.447,2.07017052928306e-18,"8","KCNQ1OT1"
"SPIRE1",1.2359136437216e-22,0.380185443777351,0.621,0.402,2.9996860046767e-18,"8","SPIRE1"
"AFF3",1.62891952987454e-22,0.38609253828418,0.47,0.264,3.95355059095849e-18,"8","AFF3"
"TSPAN52",1.80448385166466e-22,0.509683971125775,0.843,0.688,4.3796627563753e-18,"8","TSPAN5"
"SUN11",1.90884246419368e-22,0.32087403256175,0.557,0.337,4.63295154484448e-18,"8","SUN1"
"ARMH4",1.98081944026711e-22,0.271790178905836,0.468,0.255,4.8076468634723e-18,"8","ARMH4"
"SSR31",2.24388875928589e-22,0.438923654813379,0.746,0.554,5.44614240766279e-18,"8","SSR3"
"LAMA1",2.63708372124563e-22,0.293419664473425,0.383,0.197,6.40046589983526e-18,"8","LAMA1"
"RB1CC11",2.68549803672461e-22,0.393289051194056,0.86,0.703,6.5179722849343e-18,"8","RB1CC1"
"HS6ST3",2.81621327217642e-22,0.451518142490755,0.288,0.131,6.83523123289938e-18,"8","HS6ST3"
"MLLT32",3.20342355443522e-22,0.415473874163318,0.574,0.349,7.77502930896973e-18,"8","MLLT3"
"CD109",3.35166851241126e-22,0.345851474301389,0.405,0.215,8.13483464647336e-18,"8","CD109"
"ABHD5",3.98555708231027e-22,0.345799911205864,0.564,0.347,9.67334559447527e-18,"8","ABHD5"
"MAPK14",4.93100324574032e-22,0.257416027557202,0.424,0.222,1.19680379777363e-17,"8","MAPK14"
"SAMD3",5.65605915291361e-22,0.357731519639014,0.294,0.134,1.37278211700366e-17,"8","SAMD3"
"SLC25A361",6.20050744617039e-22,0.294874227002494,0.572,0.352,1.50492516226002e-17,"8","SLC25A36"
"SNHG3",6.2047677853514e-22,0.281776224704795,0.417,0.225,1.50595918918264e-17,"8","SNHG3"
"ENPP11",7.43087768788876e-22,0.269836635348389,0.441,0.233,1.80354832362748e-17,"8","ENPP1"
"DDX6",8.14230156334576e-22,0.279834770376356,0.61,0.375,1.97621801243965e-17,"8","DDX6"
"ZBTB1",9.55536136229448e-22,0.328587602591052,0.483,0.281,2.31918175624249e-17,"8","ZBTB1"
"MAX",1.2460475399176e-21,0.333993540196471,0.566,0.352,3.02428198413402e-17,"8","MAX"
"CSNK1A1",1.2911278671282e-21,0.345522721430685,0.926,0.843,3.13369644630685e-17,"8","CSNK1A1"
